Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
montanus_IGG_Fresh	montanus	IGG	Fresh	18	4201	4165	433	10.30707	4.77458	0.73322	0.01321	0.96970	0.01032	0.00157	0.05282	0.03407	0.00285	0.94718	0.03407	0.00285	0.03812	0.01432	0.00185	0.96188	0.01432	0.00185	0.04280	0.01811	0.00208	-0.01795	0.02109	0.01321
yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	3	4177	4141	327	7.82859	2.65502	0.31750	0.00872	0.97209	0.01082	0.00161	0.05351	0.04110	0.00314	0.94649	0.04110	0.00314	0.03264	0.01325	0.00178	0.96736	0.01325	0.00178	0.04080	0.02117	0.00225	-0.02107	0.01531	0.00872
yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	13	4203	4167	677	16.10754	6.50155	1.52136	0.01903	0.96634	0.00980	0.00153	0.06113	0.03285	0.00280	0.93887	0.03285	0.00280	0.04547	0.01442	0.00185	0.95453	0.01442	0.00185	0.04929	0.01691	0.00201	-0.02287	0.01858	0.01903
glutinosus_SG_Blood	glutinosus	SG	Blood	21	3479	3453	405	11.64128	1.37856	0.23532	0.00822	0.95164	0.01939	0.00236	0.09069	0.07264	0.00457	0.90931	0.07264	0.00457	0.05328	0.02196	0.00251	0.94672	0.02196	0.00251	0.08982	0.06733	0.00440	-0.00129	0.00970	0.00822
montanus_SG_FFS	montanus	SG	FFS	8	3876	3841	295	7.61094	3.15712	2.77660	0.02676	0.97628	0.00852	0.00148	0.04224	0.02928	0.00275	0.95776	0.02928	0.00275	0.02928	0.01145	0.00172	0.97072	0.01145	0.00172	0.03759	0.02090	0.00232	-0.00846	0.01160	0.02676
montanus_IGG_FFS	montanus	IGG	FFS	2	3138	3116	226	7.20204	2.09975	1.32030	0.02051	0.97580	0.00908	0.00170	0.04445	0.03229	0.00321	0.95555	0.03229	0.00321	0.02907	0.01165	0.00193	0.97093	0.01165	0.00193	0.04086	0.02568	0.00286	-0.00641	0.00810	0.02051
cinereus_IGG_Blood	cinereus	IGG	Blood	21	4093	4058	373	9.11312	1.87051	0.11275	0.00525	0.96775	0.01176	0.00169	0.05986	0.04297	0.00324	0.94014	0.04297	0.00324	0.03891	0.01545	0.00194	0.96109	0.01545	0.00194	0.05424	0.03115	0.00276	-0.00843	0.01111	0.00525
yonahlossee_SG_Fresh	yonahlossee	SG	Fresh	3	4203	4167	316	7.51844	1.99905	0.00095	0.00048	0.96907	0.01285	0.00175	0.05972	0.04950	0.00343	0.94028	0.04950	0.00343	0.03426	0.01471	0.00187	0.96574	0.01471	0.00187	0.04568	0.02615	0.00249	-0.02106	0.01330	0.00048
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	1	4201	4163	350	8.33135	2.79672	0.19105	0.00674	0.97040	0.01134	0.00164	0.05705	0.04315	0.00320	0.94295	0.04315	0.00320	0.03477	0.01405	0.00183	0.96523	0.01405	0.00183	0.04242	0.02111	0.00224	-0.02474	0.01674	0.00674
glutinosus_SG_Fresh	glutinosus	SG	Fresh	7	4200	4162	574	13.66667	1.99690	0.00309	0.00086	0.95125	0.01711	0.00202	0.08917	0.06165	0.00383	0.91083	0.06165	0.00383	0.05854	0.02218	0.00230	0.94146	0.02218	0.00230	0.07813	0.03955	0.00307	-0.01655	0.02050	0.00086
yonahlossee_SG_Blood	yonahlossee	SG	Blood	0	4163	4127	282	6.77396	1.70766	0.20693	0.00705	0.97400	0.01036	0.00158	0.05032	0.03993	0.00310	0.94968	0.03993	0.00310	0.02994	0.01260	0.00174	0.97006	0.01260	0.00174	0.04408	0.02899	0.00264	-0.00937	0.00712	0.00705
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	2	4201	4163	240	5.71293	1.21542	0.16906	0.00634	0.97548	0.01065	0.00159	0.04642	0.04023	0.00309	0.95358	0.04023	0.00309	0.02654	0.01181	0.00168	0.97346	0.01181	0.00168	0.04761	0.04035	0.00310	0.00179	0.00303	0.00634
glutinosus_SG_FFS	glutinosus	SG	FFS	2	1714	1699	107	6.24271	1.61260	1.00103	0.02417	0.97870	0.00812	0.00218	0.03817	0.02856	0.00408	0.96183	0.02856	0.00408	0.02547	0.01035	0.00246	0.97453	0.01035	0.00246	0.03941	0.02826	0.00406	0.00212	0.00521	0.02417
welleri_IGG_FFS	welleri	IGG	FFS	728	4029	3996	522	12.95607	4.18143	1.33624	0.01821	0.96409	0.01170	0.00170	0.06855	0.04405	0.00331	0.93145	0.04405	0.00331	0.04584	0.01617	0.00200	0.95416	0.01617	0.00200	0.05363	0.02300	0.00239	-0.02755	0.02116	0.01821
cinereus_IGG_FFS	cinereus	IGG	FFS	220	4065	4040	718	17.66298	7.12718	4.34332	0.03269	0.96518	0.00924	0.00151	0.05958	0.02849	0.00265	0.94042	0.02849	0.00265	0.04874	0.01469	0.00190	0.95126	0.01469	0.00190	0.05295	0.01754	0.00208	-0.01306	0.02040	0.03269
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	4	4003	3966	239	5.97052	1.52860	0.24924	0.00789	0.97683	0.00938	0.00153	0.04459	0.03593	0.00300	0.95541	0.03593	0.00300	0.02651	0.01130	0.00168	0.97349	0.01130	0.00168	0.04009	0.02765	0.00263	-0.00674	0.00595	0.00789
cinereus_SG_FFS	cinereus	SG	FFS	35	2668	2654	182	6.82159	1.38831	0.23761	0.00944	0.97180	0.01184	0.00211	0.05416	0.04534	0.00412	0.94584	0.04534	0.00412	0.03116	0.01351	0.00225	0.96884	0.01351	0.00225	0.05091	0.03877	0.00381	-0.00487	0.00579	0.00944
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	6	3555	3522	250	7.03235	2.09873	0.60786	0.01308	0.97389	0.01024	0.00170	0.04960	0.03849	0.00329	0.95040	0.03849	0.00329	0.03038	0.01267	0.00189	0.96962	0.01267	0.00189	0.04191	0.02588	0.00270	-0.01260	0.01004	0.01308
montanus_SG_Fresh	montanus	SG	Fresh	49	4202	4164	485	11.54212	4.97620	0.03895	0.00304	0.96799	0.01088	0.00161	0.05783	0.03701	0.00297	0.94217	0.03701	0.00297	0.04021	0.01458	0.00186	0.95979	0.01458	0.00186	0.04469	0.01802	0.00207	-0.02455	0.02056	0.00304
yonahlossee_SG_FFS	yonahlossee	SG	FFS	3	4202	4164	303	7.21085	2.10424	0.21289	0.00712	0.97264	0.01083	0.00161	0.05218	0.04111	0.00313	0.94782	0.04111	0.00313	0.03157	0.01322	0.00177	0.96843	0.01322	0.00177	0.04161	0.02317	0.00235	-0.01625	0.01161	0.00712
