Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
montanus_IGG_FFS	montanus	IGG	FFS	3	2216	2209	238	10.74007	5.22202	1.58770	0.02677	0.97216	0.00880	0.00199	0.04962	0.02915	0.00363	0.95038	0.02915	0.00363	0.03653	0.01293	0.00242	0.96347	0.01293	0.00242	0.04132	0.01703	0.00277	-0.01572	0.01531	0.02677
cinereus_IGG_Blood	cinereus	IGG	Blood	2	2209	2202	236	10.68357	3.75238	1.03784	0.02168	0.97309	0.00784	0.00188	0.04196	0.02164	0.00313	0.95804	0.02164	0.00313	0.03669	0.01263	0.00239	0.96331	0.01263	0.00239	0.04317	0.01806	0.00286	0.00393	0.01713	0.02168
yonahlossee_SG_Fresh	yonahlossee	SG	Fresh	0	2229	2222	99	4.44145	1.37640	0.23483	0.01026	0.98138	0.00807	0.00190	0.03634	0.03144	0.00376	0.96366	0.03144	0.00376	0.02041	0.00912	0.00202	0.97959	0.00912	0.00202	0.03395	0.02702	0.00348	-0.00359	0.00313	0.01026
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	0	2229	2218	121	5.42844	2.30731	0.21386	0.00980	0.98033	0.00758	0.00184	0.03694	0.02811	0.00355	0.96306	0.02811	0.00355	0.02340	0.00984	0.00210	0.97660	0.00984	0.00210	0.02997	0.01622	0.00270	-0.01120	0.00883	0.00980
glutinosus_SG_Fresh	glutinosus	SG	Fresh	0	2229	2218	258	11.57470	1.99910	0.00090	0.00063	0.96074	0.01344	0.00246	0.06999	0.04649	0.00457	0.93001	0.04649	0.00457	0.04856	0.01844	0.00288	0.95144	0.01844	0.00288	0.06475	0.03278	0.00384	-0.00785	0.01666	0.00063
yonahlossee_SG_Blood	yonahlossee	SG	Blood	0	2219	2208	126	5.67823	2.86616	0.14844	0.00818	0.98130	0.00697	0.00177	0.03245	0.02307	0.00322	0.96755	0.02307	0.00322	0.02277	0.00917	0.00203	0.97723	0.00917	0.00203	0.02770	0.01370	0.00248	-0.00810	0.01156	0.00818
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	0	2227	2216	111	4.98428	1.29681	0.20881	0.00968	0.97878	0.00924	0.00204	0.04243	0.03695	0.00407	0.95757	0.03695	0.00407	0.02307	0.01031	0.00215	0.97693	0.01031	0.00215	0.03764	0.02934	0.00363	-0.00718	0.00354	0.00968
glutinosus_SG_FFS	glutinosus	SG	FFS	1	1965	1958	192	9.77099	2.83613	1.25419	0.02526	0.97243	0.00883	0.00212	0.04097	0.02326	0.00344	0.95903	0.02326	0.00344	0.03597	0.01303	0.00257	0.96403	0.01303	0.00257	0.04573	0.02286	0.00341	0.00908	0.01731	0.02526
welleri_IGG_FFS	welleri	IGG	FFS	480	2204	2194	289	13.11252	7.01497	0.52225	0.01539	0.96887	0.00998	0.00213	0.05785	0.03625	0.00406	0.94215	0.03625	0.00406	0.04037	0.01387	0.00251	0.95963	0.01387	0.00251	0.04389	0.01653	0.00274	-0.02616	0.02405	0.01539
cinereus_IGG_FFS	cinereus	IGG	FFS	5	2184	2175	187	8.56227	1.96932	0.02975	0.00369	0.97070	0.01042	0.00218	0.05449	0.03803	0.00417	0.94551	0.03803	0.00417	0.03606	0.01420	0.00255	0.96394	0.01420	0.00255	0.04853	0.02597	0.00345	-0.00893	0.01057	0.00369
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	1	2120	2110	113	5.33019	1.71321	0.20464	0.00982	0.97995	0.00797	0.00194	0.03585	0.02797	0.00363	0.96415	0.02797	0.00363	0.02335	0.00990	0.00216	0.97665	0.00990	0.00216	0.03443	0.02288	0.00329	-0.00212	0.00743	0.00982
cinereus_SG_FFS	cinereus	SG	FFS	54	2202	2192	192	8.71935	4.17121	0.33914	0.01241	0.97509	0.00829	0.00194	0.04457	0.02832	0.00359	0.95543	0.02832	0.00359	0.03201	0.01191	0.00233	0.96799	0.01191	0.00233	0.03638	0.01537	0.00264	-0.01482	0.01576	0.01241
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	2	2219	2209	164	7.39072	2.87968	0.14286	0.00802	0.97593	0.00871	0.00198	0.04394	0.03052	0.00371	0.95606	0.03052	0.00371	0.02957	0.01165	0.00229	0.97043	0.01165	0.00229	0.03637	0.01796	0.00284	-0.01297	0.01199	0.00802
montanus_SG_Fresh	montanus	SG	Fresh	9	2229	2218	203	9.10722	3.97622	0.02322	0.00323	0.97346	0.00910	0.00202	0.04718	0.03019	0.00368	0.95282	0.03019	0.00368	0.03349	0.01251	0.00237	0.96651	0.01251	0.00237	0.03831	0.01637	0.00271	-0.01611	0.01522	0.00323
