Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
glutinosus_SG_Blood	glutinosus	SG	Blood	2	569	569	54	9.49033	1.32513	0.21981	0.01965	0.96265	0.01478	0.00510	0.06942	0.05459	0.00980	0.93058	0.05459	0.00980	0.04240	0.01754	0.00555	0.95760	0.01754	0.00555	0.07001	0.05197	0.00956	0.00088	0.00748	0.01965
montanus_SG_FFS	montanus	SG	FFS	1	826	825	49	5.93220	2.96489	1.89331	0.04788	0.98192	0.00635	0.00277	0.03245	0.02210	0.00517	0.96755	0.02210	0.00517	0.02283	0.00895	0.00329	0.97717	0.00895	0.00329	0.02844	0.01479	0.00423	-0.00690	0.00966	0.04788
montanus_IGG_FFS	montanus	IGG	FFS	1	811	809	70	8.63132	3.10974	2.09535	0.05083	0.97325	0.00952	0.00343	0.04515	0.03006	0.00609	0.95485	0.03006	0.00609	0.03304	0.01268	0.00395	0.96696	0.01268	0.00395	0.04256	0.02313	0.00534	-0.00385	0.01331	0.05083
cinereus_IGG_Blood	cinereus	IGG	Blood	2	868	866	76	8.75576	2.10138	0.76480	0.02968	0.96769	0.01253	0.00380	0.05040	0.03755	0.00658	0.94960	0.03755	0.00658	0.03749	0.01531	0.00420	0.96251	0.01531	0.00420	0.05461	0.03568	0.00641	0.00714	0.01691	0.02968
yonahlossee_SG_Fresh	yonahlossee	SG	Fresh	0	886	884	39	4.40181	1.26298	0.19404	0.01480	0.98109	0.00833	0.00307	0.03781	0.03331	0.00613	0.96219	0.03331	0.00613	0.02046	0.00924	0.00323	0.97954	0.00924	0.00323	0.03555	0.02971	0.00579	-0.00339	0.00168	0.01480
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	0	888	884	61	6.86937	3.02590	0.35671	0.02004	0.97748	0.00826	0.00305	0.04223	0.02995	0.00581	0.95777	0.02995	0.00581	0.02752	0.01102	0.00352	0.97248	0.01102	0.00352	0.03272	0.01561	0.00419	-0.01654	0.01172	0.02004
glutinosus_SG_Fresh	glutinosus	SG	Fresh	2	887	883	85	9.58286	1.77678	0.17359	0.01399	0.96167	0.01532	0.00416	0.06764	0.05355	0.00777	0.93236	0.05355	0.00777	0.04312	0.01793	0.00450	0.95688	0.01793	0.00450	0.06126	0.03769	0.00652	-0.00958	0.01825	0.01399
yonahlossee_SG_Blood	yonahlossee	SG	Blood	0	670	669	32	4.77612	1.34925	0.22762	0.01843	0.98060	0.00822	0.00350	0.03582	0.03011	0.00670	0.96418	0.03011	0.00670	0.02164	0.00953	0.00377	0.97836	0.00953	0.00377	0.03433	0.02573	0.00620	-0.00224	0.00560	0.01843
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	0	309	307	14	4.53074	1.19094	0.15498	0.02240	0.98058	0.00855	0.00526	0.03883	0.03420	0.01052	0.96117	0.03420	0.01052	0.02104	0.00950	0.00554	0.97896	0.00950	0.00554	0.03668	0.03076	0.00998	-0.00324	0.00161	0.02240
glutinosus_SG_FFS	glutinosus	SG	FFS	0	528	525	38	7.19697	1.96970	1.53608	0.05394	0.97434	0.01000	0.00435	0.04476	0.03439	0.00807	0.95524	0.03439	0.00807	0.03004	0.01243	0.00485	0.96996	0.01243	0.00485	0.04513	0.03184	0.00777	0.00179	0.00881	0.05394
welleri_IGG_FFS	welleri	IGG	FFS	140	873	870	88	10.08018	4.76518	0.57897	0.02575	0.97400	0.00869	0.00316	0.05017	0.03258	0.00611	0.94983	0.03258	0.00611	0.03329	0.01174	0.00367	0.96671	0.01174	0.00367	0.03724	0.01470	0.00410	-0.02440	0.01647	0.02575
