Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	21	24048	23803	2141	8.90303	1.88124	0.10466	0.00209	0.96512	0.01381	0.00076	0.06797	0.05371	0.00149	0.93203	0.05371	0.00149	0.03970	0.01647	0.00083	0.96030	0.01647	0.00083	0.05565	0.03351	0.00118	-0.01848	0.01158	0.00209
montanus_SG_Fresh	montanus	SG	Fresh	239	25078	24821	3619	14.43098	2.93117	0.08012	0.00179	0.95058	0.01755	0.00084	0.09589	0.06764	0.00164	0.90411	0.06764	0.00164	0.05885	0.02195	0.00094	0.94115	0.02195	0.00094	0.07104	0.03211	0.00113	-0.04207	0.02732	0.00179
yonahlossee_SG_FFS	yonahlossee	SG	FFS	4	24728	24474	2162	8.74313	1.78858	1.43643	0.00762	0.96442	0.01481	0.00077	0.06938	0.05764	0.00153	0.93062	0.05764	0.00153	0.03901	0.01656	0.00082	0.96099	0.01656	0.00082	0.06694	0.05348	0.00147	-0.00420	0.00444	0.00762
montanus_IGG_Fresh	montanus	IGG	Fresh	45	25074	24816	3334	13.29664	3.72988	0.31211	0.00353	0.95571	0.01556	0.00079	0.08354	0.05784	0.00152	0.91646	0.05784	0.00152	0.05353	0.02023	0.00090	0.94647	0.02023	0.00090	0.06177	0.02697	0.00104	-0.03896	0.02937	0.00353
yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	40	25111	24853	3183	12.67572	5.89642	0.15705	0.00250	0.95923	0.01478	0.00077	0.07825	0.05581	0.00149	0.92175	0.05581	0.00149	0.04865	0.01863	0.00086	0.95135	0.01863	0.00086	0.05321	0.02228	0.00094	-0.04748	0.03332	0.00250
yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	29	25111	24853	4766	18.97973	4.75636	0.26051	0.00322	0.95238	0.01414	0.00075	0.09055	0.05196	0.00144	0.90945	0.05196	0.00144	0.06243	0.02008	0.00089	0.93757	0.02008	0.00089	0.06973	0.02503	0.00100	-0.03914	0.02617	0.00322
glutinosus_SG_Blood	glutinosus	SG	Blood	99	24468	24219	4358	17.81102	3.43240	1.63302	0.00817	0.94628	0.01660	0.00082	0.09186	0.05369	0.00148	0.90814	0.05369	0.00148	0.06847	0.02371	0.00098	0.93153	0.02371	0.00098	0.08199	0.03561	0.00121	-0.01840	0.03032	0.00817
montanus_SG_FFS	montanus	SG	FFS	21	19579	19408	1571	8.02390	1.57628	0.24419	0.00353	0.96856	0.01256	0.00080	0.06068	0.04832	0.00157	0.93932	0.04832	0.00157	0.03578	0.01498	0.00087	0.96422	0.01498	0.00087	0.05523	0.03840	0.00140	-0.00817	0.00731	0.00353
montanus_IGG_FFS	montanus	IGG	FFS	26	24277	24036	3165	13.03703	4.13342	2.31804	0.00977	0.96227	0.01235	0.00071	0.06915	0.04361	0.00134	0.93085	0.04361	0.00134	0.04790	0.01728	0.00084	0.95210	0.01728	0.00084	0.05701	0.02598	0.00103	-0.02273	0.02008	0.00977
cinereus_IGG_Blood	cinereus	IGG	Blood	100	24703	24455	3182	12.88103	3.49435	1.25281	0.00712	0.96590	0.01019	0.00064	0.05706	0.03107	0.00112	0.94294	0.03107	0.00112	0.04549	0.01563	0.00080	0.95451	0.01563	0.00080	0.05425	0.02305	0.00097	-0.00475	0.01797	0.00712
yonahlossee_SG_Fresh	yonahlossee	SG	Fresh	9	25067	24812	2428	9.68604	1.37743	0.23499	0.00306	0.96057	0.01591	0.00080	0.07735	0.06238	0.00158	0.92265	0.06238	0.00158	0.04393	0.01835	0.00086	0.95607	0.01835	0.00086	0.07193	0.05313	0.00146	-0.00814	0.00628	0.00306
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	27	25111	24897	3273	13.03413	5.21516	0.35812	0.00378	0.95775	0.01484	0.00077	0.08050	0.05557	0.00149	0.91950	0.05557	0.00149	0.05125	0.01954	0.00088	0.94875	0.01954	0.00088	0.05656	0.02380	0.00097	-0.04507	0.03105	0.00378
glutinosus_SG_Fresh	glutinosus	SG	Fresh	201	25108	24894	4045	16.11040	1.96726	0.03167	0.00112	0.94040	0.02101	0.00091	0.11351	0.07968	0.00178	0.88649	0.07968	0.00178	0.07008	0.02620	0.00102	0.92992	0.02620	0.00102	0.09452	0.04819	0.00139	-0.02848	0.02197	0.00112
yonahlossee_SG_Blood	yonahlossee	SG	Blood	2	20176	20020	1836	9.09992	1.45396	0.24789	0.00351	0.96456	0.01395	0.00083	0.06815	0.05345	0.00163	0.93185	0.05345	0.00163	0.04047	0.01671	0.00091	0.95953	0.01671	0.00091	0.06194	0.04208	0.00144	-0.00932	0.00866	0.00351
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	4	24766	24558	2147	8.66914	1.33409	0.22248	0.00300	0.96187	0.01631	0.00081	0.07593	0.06495	0.00162	0.92407	0.06495	0.00162	0.04074	0.01773	0.00085	0.95926	0.01773	0.00085	0.06740	0.05173	0.00145	-0.01280	0.00672	0.00300
glutinosus_SG_FFS	glutinosus	SG	FFS	28	18882	18743	2432	12.87999	2.78376	2.98872	0.01258	0.96177	0.01261	0.00082	0.06503	0.04095	0.00147	0.93497	0.04095	0.00147	0.04831	0.01748	0.00096	0.95169	0.01748	0.00096	0.06470	0.03549	0.00137	-0.00086	0.01672	0.01258
welleri_IGG_FFS	welleri	IGG	FFS	4113	24463	24309	2350	9.60634	2.01909	0.09959	0.00202	0.96229	0.01484	0.00078	0.07331	0.05766	0.00154	0.92669	0.05766	0.00154	0.04289	0.01769	0.00085	0.95711	0.01769	0.00085	0.05812	0.03310	0.00116	-0.02288	0.01419	0.00202
cinereus_IGG_FFS	cinereus	IGG	FFS	156	24449	24249	4154	16.99047	6.47863	1.53432	0.00792	0.96143	0.01124	0.00068	0.07070	0.03903	0.00126	0.92930	0.03903	0.00126	0.05169	0.01658	0.00082	0.94831	0.01658	0.00082	0.05658	0.02013	0.00091	-0.02794	0.02253	0.00792
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	31	25080	24866	2697	10.75359	2.78672	0.23112	0.00304	0.96222	0.01376	0.00074	0.07259	0.05231	0.00144	0.92741	0.05231	0.00144	0.04519	0.01780	0.00084	0.95481	0.01780	0.00084	0.05501	0.02656	0.00103	-0.02989	0.01975	0.00304
cinereus_SG_FFS	cinereus	SG	FFS	329	24391	24191	2776	11.38125	3.82776	2.12068	0.00932	0.96640	0.01125	0.00068	0.06259	0.04068	0.00129	0.93741	0.04068	0.00129	0.04244	0.01561	0.00080	0.95756	0.01561	0.00080	0.05086	0.02334	0.00098	-0.02139	0.01791	0.00932
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	26	24490	24285	2666	10.88608	3.41597	0.80189	0.00572	0.96560	0.01204	0.00070	0.06635	0.04610	0.00137	0.93365	0.04610	0.00137	0.04236	0.01604	0.00081	0.95764	0.01604	0.00081	0.05116	0.02435	0.00100	-0.02700	0.01896	0.00572
