Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
cinereus_SG_FFS	cinereus	SG	FFS	108	4022	3980	484	12.03381	4.17703	2.68042	0.02582	0.96900	0.00956	0.00154	0.05430	0.03159	0.00280	0.94570	0.03159	0.00280	0.04098	0.01419	0.00188	0.95902	0.01419	0.00188	0.04771	0.01970	0.00221	-0.01167	0.01801	0.02582
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	4	3503	3462	245	6.99401	1.95661	0.61948	0.01330	0.97350	0.01065	0.00174	0.05148	0.04124	0.00343	0.94852	0.04124	0.00343	0.03030	0.01271	0.00190	0.96970	0.01271	0.00190	0.04362	0.02861	0.00286	-0.01272	0.00904	0.01330
montanus_SG_Fresh	montanus	SG	Fresh	33	4202	4155	497	11.82770	6.92694	0.08345	0.00446	0.96909	0.01049	0.00158	0.05500	0.03508	0.00289	0.94500	0.03508	0.00289	0.03893	0.01408	0.00183	0.96107	0.01408	0.00183	0.04197	0.01636	0.00197	-0.02531	0.02261	0.00446
yonahlossee_SG_FFS	yonahlossee	SG	FFS	3	4193	4146	245	5.84307	1.04388	0.05628	0.00366	0.97190	0.01303	0.00176	0.05620	0.05210	0.00353	0.94380	0.05210	0.00353	0.02858	0.01327	0.00178	0.97142	0.01327	0.00178	0.05589	0.05165	0.00351	-0.00052	0.00025	0.00366
montanus_IGG_Fresh	montanus	IGG	Fresh	11	4169	4122	264	6.33245	1.27537	0.19959	0.00692	0.97260	0.01189	0.00169	0.05313	0.04606	0.00332	0.94687	0.04606	0.00332	0.02953	0.01310	0.00177	0.97047	0.01310	0.00177	0.05209	0.04332	0.00322	-0.00156	0.00330	0.00692
yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	2	4037	3995	275	6.81199	1.73743	0.19368	0.00693	0.97294	0.01105	0.00165	0.05338	0.04354	0.00328	0.94662	0.04354	0.00328	0.03056	0.01304	0.00180	0.96944	0.01304	0.00180	0.04430	0.02880	0.00267	-0.01362	0.00774	0.00693
yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	8	4203	4156	654	15.56031	6.35498	0.57029	0.01165	0.96624	0.01013	0.00155	0.06348	0.03667	0.00295	0.93652	0.03667	0.00295	0.04498	0.01454	0.00186	0.95502	0.01454	0.00186	0.04880	0.01709	0.00202	-0.02836	0.02129	0.01165
glutinosus_SG_Blood	glutinosus	SG	Blood	29	4201	4154	625	14.87741	2.98596	0.31147	0.00861	0.95566	0.01374	0.00181	0.07611	0.04441	0.00325	0.92389	0.04441	0.00325	0.05729	0.02014	0.00219	0.94271	0.02014	0.00219	0.06953	0.03001	0.00267	-0.01103	0.02298	0.00861
montanus_SG_FFS	montanus	SG	FFS	3	3892	3847	305	7.83659	3.38592	3.66804	0.03070	0.97624	0.00842	0.00147	0.04162	0.02800	0.00268	0.95838	0.02800	0.00268	0.02955	0.01146	0.00172	0.97045	0.01146	0.00172	0.03754	0.02057	0.00230	-0.00763	0.01125	0.03070
montanus_IGG_FFS	montanus	IGG	FFS	4	1974	1957	127	6.43364	1.38349	0.23654	0.01095	0.97328	0.01129	0.00239	0.05091	0.04290	0.00466	0.94909	0.04290	0.00466	0.02945	0.01284	0.00255	0.97055	0.01284	0.00255	0.04838	0.03723	0.00434	-0.00380	0.00569	0.01095
