Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
montanus_SG_Fresh	montanus	SG	Fresh	13	2330	2320	285	12.23176	4.82961	0.21183	0.00953	0.96396	0.01251	0.00232	0.06813	0.04661	0.00447	0.93187	0.04661	0.00447	0.04447	0.01635	0.00265	0.95553	0.01635	0.00265	0.04958	0.02032	0.00295	-0.03417	0.02703	0.00953
yonahlossee_SG_FFS	yonahlossee	SG	FFS	4	2302	2292	200	8.68810	2.00348	0.35288	0.01238	0.96670	0.01316	0.00239	0.06483	0.05110	0.00471	0.93517	0.05110	0.00471	0.03807	0.01576	0.00262	0.96193	0.01576	0.00262	0.05158	0.02989	0.00360	-0.02038	0.01248	0.01238
montanus_IGG_Fresh	montanus	IGG	Fresh	7	2330	2320	259	11.11588	3.71073	0.89267	0.01957	0.96613	0.01147	0.00222	0.06147	0.04039	0.00416	0.93853	0.04039	0.00416	0.04253	0.01594	0.00262	0.95747	0.01594	0.00262	0.04937	0.02171	0.00305	-0.02175	0.02088	0.01957
yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	2	2334	2324	276	11.82519	5.68209	0.46297	0.01408	0.96443	0.01275	0.00234	0.06768	0.04737	0.00450	0.93232	0.04737	0.00450	0.04312	0.01627	0.00264	0.95688	0.01627	0.00264	0.04743	0.01969	0.00290	-0.03835	0.02768	0.01408
yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	1	2332	2322	198	8.49057	1.63937	0.23068	0.00995	0.96612	0.01365	0.00242	0.06432	0.05163	0.00471	0.93568	0.05163	0.00471	0.03816	0.01602	0.00262	0.96184	0.01602	0.00262	0.05660	0.03741	0.00401	-0.01158	0.01081	0.00995
glutinosus_SG_Blood	glutinosus	SG	Blood	16	2293	2284	361	15.74357	3.79416	2.71154	0.03439	0.95473	0.01420	0.00249	0.07646	0.04474	0.00442	0.92354	0.04474	0.00442	0.05804	0.02033	0.00298	0.94196	0.02033	0.00298	0.06802	0.02890	0.00355	-0.01578	0.02645	0.03439
montanus_SG_FFS	montanus	SG	FFS	2	2080	2071	185	8.89423	3.16538	3.24151	0.03948	0.97274	0.00953	0.00214	0.04969	0.03347	0.00401	0.95031	0.03347	0.00401	0.03397	0.01301	0.00250	0.96603	0.01301	0.00250	0.04360	0.02375	0.00338	-0.01176	0.01193	0.03948
montanus_IGG_FFS	montanus	IGG	FFS	3	1959	1951	177	9.03522	2.01940	0.68604	0.01871	0.96695	0.01272	0.00255	0.06100	0.04620	0.00486	0.93900	0.04620	0.00486	0.03849	0.01560	0.00282	0.96151	0.01560	0.00282	0.05522	0.03519	0.00424	-0.00964	0.01203	0.01871
cinereus_IGG_Blood	cinereus	IGG	Blood	12	2263	2253	217	9.58904	1.42643	0.24469	0.01040	0.95990	0.01649	0.00270	0.07446	0.06110	0.00520	0.92554	0.06110	0.00520	0.04402	0.01861	0.00287	0.95598	0.01861	0.00287	0.07343	0.05570	0.00496	-0.00155	0.00939	0.01040
yonahlossee_SG_Fresh	yonahlossee	SG	Fresh	5	2330	2320	178	7.63948	1.27983	0.20161	0.00930	0.96652	0.01444	0.00249	0.06609	0.05703	0.00495	0.93391	0.05703	0.00495	0.03584	0.01576	0.00260	0.96416	0.01576	0.00260	0.06280	0.05139	0.00470	-0.00494	0.00373	0.00930
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	1	2334	2314	225	9.64010	2.89374	0.09758	0.00647	0.96433	0.01389	0.00244	0.06877	0.05286	0.00476	0.93123	0.05286	0.00476	0.04103	0.01664	0.00267	0.95897	0.01664	0.00267	0.04943	0.02415	0.00322	-0.03259	0.02151	0.00647
glutinosus_SG_Fresh	glutinosus	SG	Fresh	22	2333	2313	277	11.87312	1.78054	0.17137	0.00857	0.95253	0.01852	0.00282	0.08808	0.06846	0.00542	0.91192	0.06846	0.00542	0.05342	0.02163	0.00305	0.94658	0.02163	0.00305	0.07665	0.04671	0.00447	-0.01715	0.01857	0.00857
yonahlossee_SG_Blood	yonahlossee	SG	Blood	1	2250	2233	170	7.55556	1.68178	0.21705	0.00982	0.96922	0.01270	0.00238	0.05933	0.04883	0.00466	0.94067	0.04883	0.00466	0.03428	0.01466	0.00255	0.96572	0.01466	0.00255	0.04956	0.03211	0.00378	-0.01467	0.01046	0.00982
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	2	877	869	57	6.49943	1.24173	0.18351	0.01447	0.97292	0.01147	0.00362	0.05302	0.04485	0.00715	0.94698	0.04485	0.00715	0.02979	0.01301	0.00385	0.97021	0.01301	0.00385	0.05112	0.04111	0.00685	-0.00285	0.00313	0.01447
glutinosus_SG_FFS	glutinosus	SG	FFS	3	1277	1269	95	7.43931	1.67972	0.95298	0.02732	0.97531	0.00924	0.00269	0.04190	0.03036	0.00488	0.95810	0.03036	0.00488	0.02971	0.01185	0.00305	0.97029	0.01185	0.00305	0.04418	0.02963	0.00482	0.00350	0.00925	0.02732
