Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	3	2083	2034	134	6.43303	4.60634	0.27051	0.01140	0.97996	0.00726	0.00187	0.03775	0.02629	0.00355	0.96225	0.02629	0.00355	0.02477	0.00985	0.00217	0.97523	0.00985	0.00217	0.02793	0.01254	0.00245	-0.01845	0.01227	0.01140
yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	2	2083	2034	163	7.82525	4.48728	0.54775	0.01622	0.97878	0.00687	0.00182	0.03697	0.02188	0.00324	0.96303	0.02188	0.00324	0.02782	0.01034	0.00223	0.97218	0.01034	0.00223	0.03134	0.01311	0.00251	-0.01030	0.01142	0.01622
glutinosus_SG_Blood	glutinosus	SG	Blood	9	1643	1609	159	9.67742	1.44492	0.24712	0.01226	0.96287	0.01438	0.00296	0.06695	0.05124	0.00558	0.93305	0.05124	0.00558	0.04276	0.01745	0.00326	0.95724	0.01745	0.00326	0.06878	0.04916	0.00547	0.00274	0.00958	0.01226
montanus_SG_FFS	montanus	SG	FFS	13	2063	2016	218	10.56714	5.55550	3.26741	0.03980	0.97560	0.00731	0.00188	0.04030	0.02139	0.00322	0.95970	0.02139	0.00322	0.03301	0.01127	0.00234	0.96699	0.01127	0.00234	0.03698	0.01442	0.00264	-0.00686	0.01463	0.03980
montanus_IGG_FFS	montanus	IGG	FFS	7	1931	1887	138	7.14656	2.16261	0.57458	0.01725	0.97605	0.00875	0.00213	0.04410	0.03212	0.00408	0.95590	0.03212	0.00408	0.02927	0.01168	0.00246	0.97073	0.01168	0.00246	0.03965	0.02311	0.00346	-0.00738	0.01092	0.01725
cinereus_IGG_Blood	cinereus	IGG	Blood	20	2004	1961	187	9.33134	3.23353	1.48213	0.02720	0.97547	0.00759	0.00195	0.03615	0.01932	0.00311	0.96385	0.01932	0.00311	0.03268	0.01158	0.00240	0.96732	0.01158	0.00240	0.03983	0.01830	0.00302	0.00741	0.01656	0.02720
yonahlossee_SG_Fresh	yonahlossee	SG	Fresh	1	2072	2023	96	4.63320	1.39624	0.23935	0.01075	0.98142	0.00780	0.00194	0.03475	0.02897	0.00374	0.96525	0.02897	0.00374	0.02087	0.00915	0.00210	0.97913	0.00915	0.00210	0.03298	0.02453	0.00344	-0.00265	0.00494	0.01075
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	2	2083	2061	146	7.00912	5.24916	0.35239	0.01301	0.97848	0.00761	0.00191	0.03913	0.02585	0.00352	0.96087	0.02585	0.00352	0.02691	0.01062	0.00226	0.97309	0.01062	0.00226	0.02974	0.01297	0.00249	-0.01807	0.01299	0.01301
glutinosus_SG_Fresh	glutinosus	SG	Fresh	8	2054	2033	238	11.58715	1.87342	0.11061	0.00734	0.95813	0.01517	0.00272	0.07546	0.05373	0.00511	0.92454	0.05373	0.00511	0.04990	0.01946	0.00308	0.95010	0.01946	0.00308	0.06897	0.03832	0.00432	-0.00974	0.01720	0.00734
yonahlossee_SG_Blood	yonahlossee	SG	Blood	3	1625	1612	77	4.73846	1.47015	0.24926	0.01239	0.98123	0.00781	0.00219	0.03262	0.02664	0.00405	0.96738	0.02664	0.00405	0.02123	0.00925	0.00239	0.97877	0.00925	0.00239	0.03221	0.02270	0.00374	-0.00062	0.00770	0.01239
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	2	2039	2018	108	5.29671	1.32614	0.21988	0.01038	0.97805	0.00936	0.00214	0.04389	0.03745	0.00429	0.95611	0.03745	0.00429	0.02422	0.01068	0.00229	0.97578	0.01068	0.00229	0.03883	0.02942	0.00380	-0.00760	0.00374	0.01038
glutinosus_SG_FFS	glutinosus	SG	FFS	1	1542	1529	131	8.49546	1.56550	0.24587	0.01263	0.96579	0.01388	0.00300	0.05999	0.04815	0.00559	0.94001	0.04815	0.00559	0.03834	0.01616	0.00324	0.96166	0.01616	0.00324	0.06193	0.04553	0.00543	0.00292	0.01119	0.01263
welleri_IGG_FFS	welleri	IGG	FFS	458	2056	2038	210	10.21401	3.10603	0.18535	0.00949	0.96893	0.01047	0.00226	0.05711	0.03741	0.00427	0.94289	0.03741	0.00427	0.03927	0.01459	0.00266	0.96073	0.01459	0.00266	0.04767	0.02187	0.00326	-0.01574	0.01611	0.00949
cinereus_IGG_FFS	cinereus	IGG	FFS	41	2060	2040	303	14.70874	6.90922	0.57116	0.01665	0.97023	0.00809	0.00198	0.05187	0.02518	0.00350	0.94813	0.02518	0.00350	0.04159	0.01303	0.00251	0.95841	0.01303	0.00251	0.04493	0.01522	0.00272	-0.01350	0.01461	0.01665
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	1	1934	1914	101	5.22234	1.72182	0.20090	0.01019	0.98113	0.00727	0.00194	0.03464	0.02622	0.00368	0.96536	0.02622	0.00368	0.02249	0.00939	0.00220	0.97751	0.00939	0.00220	0.03309	0.02167	0.00335	-0.00233	0.00581	0.01019
cinereus_SG_FFS	cinereus	SG	FFS	34	1963	1946	166	8.45644	3.08304	0.94570	0.02195	0.97625	0.00766	0.00198	0.04334	0.02708	0.00371	0.95666	0.02708	0.00371	0.03107	0.01138	0.00241	0.96893	0.01138	0.00241	0.03764	0.01729	0.00297	-0.00986	0.01179	0.02195
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	2	2079	2057	155	7.45551	2.91342	0.10126	0.00698	0.97671	0.00822	0.00199	0.04417	0.03046	0.00383	0.95583	0.03046	0.00383	0.02907	0.01122	0.00232	0.97093	0.01122	0.00232	0.03539	0.01689	0.00285	-0.01506	0.01114	0.00698
montanus_SG_Fresh	montanus	SG	Fresh	17	2075	2053	157	7.56627	1.97012	0.02900	0.00374	0.97048	0.01182	0.00239	0.05614	0.04470	0.00464	0.94386	0.04470	0.00464	0.03367	0.01415	0.00261	0.96633	0.01415	0.00261	0.04522	0.02566	0.00352	-0.01639	0.01227	0.00374
yonahlossee_SG_FFS	yonahlossee	SG	FFS	1	2070	2049	104	5.02415	2.64348	2.66258	0.03586	0.98312	0.00650	0.00177	0.03148	0.02421	0.00342	0.96852	0.02421	0.00342	0.02020	0.00831	0.00200	0.97980	0.00831	0.00200	0.03082	0.02224	0.00328	-0.00121	0.00427	0.03586
montanus_IGG_Fresh	montanus	IGG	Fresh	20	2023	2003	134	6.62383	1.65793	0.22517	0.01055	0.97454	0.01017	0.00224	0.04696	0.03711	0.00428	0.95304	0.03711	0.00428	0.02929	0.01236	0.00247	0.97071	0.01236	0.00247	0.04251	0.02745	0.00368	-0.00667	0.00923	0.01055
yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	2	2083	2061	131	6.28901	4.33989	0.61352	0.01716	0.98169	0.00628	0.00174	0.03301	0.02174	0.00323	0.96699	0.02174	0.00323	0.02339	0.00906	0.00209	0.97661	0.00906	0.00209	0.02679	0.01195	0.00240	-0.01122	0.01061	0.01716
yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	2	2081	2059	132	6.34310	2.85344	0.14149	0.00825	0.98010	0.00689	0.00182	0.03772	0.02533	0.00349	0.96228	0.02533	0.00349	0.02523	0.00992	0.00218	0.97477	0.00992	0.00218	0.03074	0.01471	0.00266	-0.01212	0.00841	0.00825
glutinosus_SG_Blood	glutinosus	SG	Blood	7	2001	1981	288	14.39280	3.09095	1.38872	0.02634	0.95721	0.01349	0.00260	0.06563	0.03635	0.00426	0.93437	0.03635	0.00426	0.05495	0.01949	0.00312	0.94505	0.01949	0.00312	0.06827	0.03204	0.00400	0.00445	0.02336	0.02634
montanus_SG_FFS	montanus	SG	FFS	8	2038	2017	154	7.55643	2.70707	0.34763	0.01306	0.97588	0.00854	0.00205	0.04416	0.03023	0.00385	0.95584	0.03023	0.00385	0.03001	0.01169	0.00239	0.96999	0.01169	0.00239	0.03837	0.02011	0.00314	-0.01003	0.01085	0.01306
montanus_IGG_FFS	montanus	IGG	FFS	9	2019	2003	137	6.78554	1.75780	0.18363	0.00954	0.97486	0.00974	0.00220	0.04879	0.03763	0.00432	0.95121	0.03763	0.00432	0.02953	0.01225	0.00246	0.97047	0.01225	0.00246	0.04235	0.02649	0.00362	-0.00966	0.00697	0.00954
cinereus_IGG_Blood	cinereus	IGG	Blood	3	1845	1827	99	5.36585	1.55772	0.24680	0.01157	0.97967	0.00813	0.00210	0.03469	0.02700	0.00383	0.96531	0.02700	0.00383	0.02358	0.01002	0.00233	0.97642	0.01002	0.00233	0.03668	0.02619	0.00377	0.00298	0.00745	0.01157
yonahlossee_SG_Fresh	yonahlossee	SG	Fresh	2	2078	2058	97	4.66795	1.39509	0.23911	0.01073	0.98123	0.00789	0.00195	0.03657	0.03068	0.00384	0.96343	0.03068	0.00384	0.02105	0.00923	0.00211	0.97895	0.00923	0.00211	0.03401	0.02594	0.00353	-0.00385	0.00336	0.01073
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	0	2083	2073	147	7.05713	4.83101	0.19525	0.00968	0.97900	0.00727	0.00187	0.03881	0.02540	0.00349	0.96119	0.02540	0.00349	0.02659	0.01035	0.00223	0.97341	0.01035	0.00223	0.02975	0.01297	0.00250	-0.01758	0.01191	0.00968
glutinosus_SG_Fresh	glutinosus	SG	Fresh	26	2054	2044	238	11.58715	1.87342	0.11061	0.00734	0.95813	0.01517	0.00272	0.07546	0.05373	0.00511	0.92454	0.05373	0.00511	0.04990	0.01946	0.00308	0.95010	0.01946	0.00308	0.06897	0.03832	0.00432	-0.00974	0.01720	0.00734
yonahlossee_SG_Blood	yonahlossee	SG	Blood	0	1980	1971	89	4.49495	1.43081	0.24534	0.01113	0.98169	0.00778	0.00198	0.03409	0.02878	0.00381	0.96591	0.02878	0.00381	0.02039	0.00900	0.00213	0.97961	0.00900	0.00213	0.03173	0.02332	0.00343	-0.00354	0.00555	0.01113
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	3	2039	2029	108	5.29671	1.32614	0.21988	0.01038	0.97805	0.00936	0.00214	0.04389	0.03745	0.00429	0.95611	0.03745	0.00429	0.02422	0.01068	0.00229	0.97578	0.01068	0.00229	0.03883	0.02942	0.00380	-0.00760	0.00374	0.01038
glutinosus_SG_FFS	glutinosus	SG	FFS	5	1614	1605	121	7.49690	2.19021	1.19814	0.02725	0.97617	0.00854	0.00230	0.03723	0.02505	0.00394	0.96277	0.02505	0.00394	0.02945	0.01146	0.00266	0.97055	0.01146	0.00266	0.04141	0.02538	0.00397	0.00699	0.01258	0.02725
welleri_IGG_FFS	welleri	IGG	FFS	454	2062	2053	253	12.26964	6.06887	0.32131	0.01248	0.97006	0.00948	0.00214	0.05533	0.03398	0.00406	0.94467	0.03398	0.00406	0.03915	0.01354	0.00256	0.96085	0.01354	0.00256	0.04286	0.01624	0.00281	-0.02351	0.02038	0.01248
cinereus_IGG_FFS	cinereus	IGG	FFS	7	2057	2048	245	11.91055	3.97229	0.31197	0.01232	0.97152	0.00801	0.00197	0.05063	0.02655	0.00359	0.94937	0.02655	0.00359	0.03934	0.01298	0.00251	0.96066	0.01298	0.00251	0.04548	0.01765	0.00293	-0.00952	0.01342	0.01232
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	2	2079	2069	126	6.06061	2.59981	0.38164	0.01355	0.98028	0.00700	0.00183	0.03656	0.02500	0.00347	0.96344	0.02500	0.00347	0.02468	0.00988	0.00218	0.97532	0.00988	0.00218	0.03114	0.01615	0.00279	-0.00914	0.00786	0.01355
cinereus_SG_FFS	cinereus	SG	FFS	43	2059	2050	186	9.03351	3.64886	0.42717	0.01440	0.97551	0.00806	0.00198	0.04541	0.02841	0.00371	0.95459	0.02841	0.00371	0.03166	0.01134	0.00235	0.96834	0.01134	0.00235	0.03751	0.01637	0.00282	-0.01414	0.01182	0.01440
