Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
cinereus_IGG_Blood	cinereus	IGG	Blood	0	27	26	2	7.40741	1.03704	0.03704	0.03704	0.96296	0.01781	0.02568	0.07407	0.07123	0.05136	0.92593	0.07123	0.05136	0.03704	0.01781	0.02568	0.96296	0.01781	0.02568	0.07407	0.07123	0.05136	0.00000	0.00000	0.03704
yonahlossee_SG_Fresh	yonahlossee	SG	Fresh	0	33	32	4	12.12121	1.00000	0.00000	0.00000	0.93939	0.02746	0.02885	0.12121	0.10985	0.05770	0.87879	0.10985	0.05770	0.06061	0.02746	0.02885	0.93939	0.02746	0.02885	0.12121	0.10985	0.05770	0.00000	0.00000	0.00000
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	0	33	33	5	15.15152	2.24242	1.06439	0.17959	0.93939	0.02356	0.02672	0.12121	0.09422	0.05343	0.87879	0.09422	0.05343	0.06818	0.02743	0.02883	0.93182	0.02743	0.02883	0.09091	0.04877	0.03844	-0.04545	0.02131	0.17959
glutinosus_SG_Fresh	glutinosus	SG	Fresh	1	33	33	5	15.15152	2.00000	0.00000	0.00000	0.95455	0.01349	0.02022	0.09091	0.05398	0.04044	0.90909	0.05398	0.04044	0.06061	0.02160	0.02559	0.93939	0.02160	0.02559	0.08081	0.03840	0.03411	-0.01515	0.00758	0.00000
yonahlossee_SG_Blood	yonahlossee	SG	Blood	0	33	33	5	15.15152	1.84848	0.13258	0.06338	0.93939	0.02356	0.02672	0.12121	0.09422	0.05343	0.87879	0.09422	0.05343	0.06818	0.02743	0.02883	0.93182	0.02743	0.02883	0.09091	0.04877	0.03844	-0.04545	0.02131	0.06338
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	0	33	33	1	3.03030	1.00000	0.00000	0.00000	0.98485	0.00758	0.01515	0.03030	0.03030	0.03030	0.96970	0.03030	0.03030	0.01515	0.00758	0.01515	0.98485	0.00758	0.01515	0.03030	0.03030	0.03030	0.00000	0.00000	0.00000
glutinosus_SG_FFS	glutinosus	SG	FFS	0	10	10	0	0.00000	1.20000	0.17778	0.13333	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.13333
welleri_IGG_FFS	welleri	IGG	FFS	7	33	33	4	12.12121	2.57576	0.25189	0.08737	0.96212	0.01089	0.01817	0.01515	0.00758	0.01515	0.98485	0.00758	0.01515	0.05177	0.02015	0.02471	0.94823	0.02015	0.02471	0.06364	0.03030	0.03030	0.09091	0.08523	0.08737
cinereus_IGG_FFS	cinereus	IGG	FFS	1	28	28	3	10.71429	4.39286	2.09921	0.27381	0.98631	0.00191	0.00827	0.02738	0.00766	0.01654	0.97262	0.00766	0.01654	0.02331	0.00529	0.01375	0.97669	0.00529	0.01375	0.02579	0.00650	0.01524	-0.00446	0.00056	0.27381
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	0	33	33	1	3.03030	1.87879	0.10985	0.05770	0.98485	0.00758	0.01515	0.03030	0.03030	0.03030	0.96970	0.03030	0.03030	0.01515	0.00758	0.01515	0.98485	0.00758	0.01515	0.02020	0.01347	0.02020	-0.01515	0.00758	0.05770
cinereus_SG_FFS	cinereus	SG	FFS	0	31	31	0	0.00000	2.38710	1.37849	0.21087	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.21087
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	0	32	32	2	6.25000	2.46875	0.45060	0.11867	0.97917	0.00851	0.01631	0.04167	0.03405	0.03262	0.95833	0.03405	0.03262	0.02431	0.00994	0.01763	0.97569	0.00994	0.01763	0.02917	0.01432	0.02115	-0.02083	0.01389	0.11867
montanus_SG_Fresh	montanus	SG	Fresh	1	33	33	2	6.06061	3.00000	0.00000	0.00000	0.97475	0.01063	0.01795	0.05051	0.04251	0.03589	0.94949	0.04251	0.03589	0.02862	0.01314	0.01995	0.97138	0.01314	0.01995	0.03434	0.01892	0.02395	-0.02778	0.01505	0.00000
yonahlossee_SG_FFS	yonahlossee	SG	FFS	0	33	33	4	12.12121	1.00000	0.00000	0.00000	0.93939	0.02746	0.02885	0.12121	0.10985	0.05770	0.87879	0.10985	0.05770	0.06061	0.02746	0.02885	0.93939	0.02746	0.02885	0.12121	0.10985	0.05770	0.00000	0.00000	0.00000
montanus_IGG_Fresh	montanus	IGG	Fresh	1	33	33	3	9.09091	3.45455	0.75568	0.15133	0.97222	0.00886	0.01639	0.05556	0.03545	0.03277	0.94444	0.03545	0.03277	0.03683	0.01475	0.02114	0.96317	0.01475	0.02114	0.04257	0.01954	0.02433	-0.02424	0.00939	0.15133
yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	0	33	33	5	15.15152	5.06061	0.62121	0.13720	0.93182	0.02841	0.02934	0.13636	0.11364	0.05868	0.86364	0.11364	0.05868	0.07197	0.03030	0.03030	0.92803	0.03030	0.03030	0.07910	0.03648	0.03325	-0.10606	0.07607	0.13720
