Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
glutinosus_SG_FFS	glutinosus	SG	FFS	46	16767	16637	1669	9.95408	1.96481	1.38275	0.00908	0.96595	0.01255	0.00087	0.06083	0.04396	0.00162	0.93917	0.04396	0.00162	0.04069	0.01594	0.00098	0.95931	0.01594	0.00098	0.06039	0.03962	0.00154	-0.00103	0.01099	0.00908
welleri_IGG_FFS	welleri	IGG	FFS	5192	29955	29690	3243	10.82624	2.81693	0.23496	0.00280	0.96371	0.01309	0.00066	0.07017	0.05011	0.00129	0.92983	0.05011	0.00129	0.04376	0.01679	0.00075	0.95624	0.01679	0.00075	0.05428	0.02648	0.00094	-0.02677	0.01819	0.00280
cinereus_IGG_FFS	cinereus	IGG	FFS	136	28977	28686	3465	11.95776	2.70428	0.35240	0.00349	0.96353	0.01206	0.00065	0.06836	0.04430	0.00124	0.93164	0.04430	0.00124	0.04615	0.01677	0.00076	0.95385	0.01677	0.00076	0.05836	0.02810	0.00098	-0.01683	0.01561	0.00349
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	136	31033	30699	3059	9.85725	2.60336	0.31699	0.00320	0.96616	0.01218	0.00063	0.06420	0.04558	0.00121	0.93580	0.04558	0.00121	0.04102	0.01614	0.00072	0.95898	0.01614	0.00072	0.05103	0.02536	0.00090	-0.02215	0.01618	0.00320
cinereus_SG_FFS	cinereus	SG	FFS	650	29988	29682	3694	12.31826	4.97902	2.89258	0.00982	0.96663	0.01080	0.00060	0.06095	0.03766	0.00112	0.93905	0.03766	0.00112	0.04291	0.01530	0.00071	0.95709	0.01530	0.00071	0.04874	0.02006	0.00082	-0.02291	0.02010	0.00982
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	43	28989	28688	2522	8.69985	1.84742	0.12930	0.00211	0.96640	0.01320	0.00067	0.06613	0.05186	0.00134	0.93387	0.05186	0.00134	0.03855	0.01593	0.00074	0.96145	0.01593	0.00074	0.05423	0.03274	0.00106	-0.01785	0.01021	0.00211
montanus_SG_Fresh	montanus	SG	Fresh	332	31047	30713	4417	14.22682	3.96444	0.04022	0.00114	0.95714	0.01443	0.00068	0.08101	0.05330	0.00131	0.91899	0.05330	0.00131	0.05318	0.01913	0.00078	0.94682	0.01913	0.00078	0.06092	0.02511	0.00090	-0.03630	0.02650	0.00114
yonahlossee_SG_FFS	yonahlossee	SG	FFS	28	31048	30714	2925	9.42090	2.37159	0.60933	0.00443	0.96418	0.01396	0.00067	0.06894	0.05349	0.00131	0.93106	0.05349	0.00131	0.04114	0.01687	0.00074	0.95886	0.01687	0.00074	0.05344	0.02869	0.00096	-0.02405	0.01534	0.00443
montanus_IGG_Fresh	montanus	IGG	Fresh	153	31041	30707	4333	13.95896	6.03073	0.69242	0.00472	0.95885	0.01353	0.00066	0.07380	0.04619	0.00122	0.92620	0.04619	0.00122	0.05186	0.01896	0.00078	0.94814	0.01896	0.00078	0.05657	0.02257	0.00085	-0.03304	0.02821	0.00472
yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	27	30492	30172	2776	9.10403	1.90440	0.08646	0.00168	0.96353	0.01464	0.00069	0.07172	0.05753	0.00137	0.92828	0.05753	0.00137	0.04099	0.01712	0.00075	0.95901	0.01712	0.00075	0.05641	0.03316	0.00104	-0.02297	0.01278	0.00168
