Dataset	Site_Type	Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
allreads_allsnps_allsites	allsites	montanus_SG_FFS	montanus	SG	FFS	5	23065	22848	2006	8.69716	2.20234	1.11033	0.00694	0.96974	0.01128	0.00070	0.05614	0.04126	0.00134	0.94386	0.04126	0.00134	0.03614	0.01446	0.00079	0.96386	0.01446	0.00079	0.05056	0.03126	0.00116	-0.00964	0.01137	0.00694
allreads_allsnps_allsites	allsites	montanus_IGG_FFS	montanus	IGG	FFS	19	27722	27432	3083	11.12113	3.02475	1.81830	0.00810	0.96399	0.01270	0.00068	0.06729	0.04647	0.00129	0.93271	0.04647	0.00129	0.04403	0.01678	0.00078	0.95597	0.01678	0.00078	0.05660	0.03029	0.00105	-0.01922	0.01673	0.00810
allreads_allsnps_allsites	allsites	cinereus_IGG_Blood	cinereus	IGG	Blood	29	17081	17014	1099	6.43405	1.30917	0.21360	0.00354	0.97452	0.01042	0.00078	0.04763	0.03867	0.00150	0.95237	0.03867	0.00150	0.02883	0.01233	0.00085	0.97117	0.01233	0.00085	0.04727	0.03589	0.00145	-0.00053	0.00527	0.00354
allreads_allsnps_allsites	allsites	yonahlossee_SG_Fresh	yonahlossee	SG	Fresh	11	31048	30703	2734	8.80572	1.32846	0.22058	0.00267	0.96360	0.01497	0.00069	0.07181	0.05903	0.00138	0.92819	0.05903	0.00138	0.04022	0.01706	0.00074	0.95978	0.01706	0.00074	0.06733	0.05152	0.00129	-0.00672	0.00481	0.00267
allreads_allsnps_allsites	allsites	yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	11	31049	30916	3556	11.45286	3.88634	0.11401	0.00192	0.96079	0.01426	0.00068	0.07507	0.05395	0.00132	0.92493	0.05395	0.00132	0.04683	0.01829	0.00077	0.95317	0.01829	0.00077	0.05367	0.02403	0.00088	-0.03849	0.02661	0.00192
allreads_allsnps_allsites	allsites	glutinosus_SG_Fresh	glutinosus	SG	Fresh	98	31041	30908	4506	14.51628	1.99836	0.00164	0.00023	0.94717	0.01868	0.00078	0.10011	0.07033	0.00151	0.89989	0.07033	0.00151	0.06270	0.02372	0.00087	0.93730	0.02372	0.00087	0.08366	0.04224	0.00117	-0.02468	0.02004	0.00023
allreads_allsnps_allsites	allsites	yonahlossee_SG_Blood	yonahlossee	SG	Blood	9	29771	29647	2630	8.83410	1.76182	0.18146	0.00247	0.96782	0.01206	0.00064	0.06063	0.04496	0.00123	0.93937	0.04496	0.00123	0.03817	0.01538	0.00072	0.96183	0.01538	0.00072	0.05330	0.03109	0.00102	-0.01100	0.01097	0.00247
allreads_allsnps_allsites	allsites	cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	8	31032	30899	2362	7.61150	1.28200	0.20248	0.00255	0.96645	0.01452	0.00068	0.06680	0.05783	0.00137	0.93320	0.05783	0.00137	0.03580	0.01577	0.00071	0.96420	0.01577	0.00071	0.06024	0.04753	0.00124	-0.00984	0.00526	0.00255
allreads_allsnps_allsites	allsites	glutinosus_SG_FFS	glutinosus	SG	FFS	37	22364	22289	2854	12.76158	2.93642	3.25151	0.01206	0.96276	0.01214	0.00074	0.06158	0.03780	0.00130	0.93842	0.03780	0.00130	0.04741	0.01708	0.00087	0.95259	0.01708	0.00087	0.06199	0.03290	0.00121	0.00054	0.01838	0.01206
allreads_allsnps_allsites	allsites	welleri_IGG_FFS	welleri	IGG	FFS	5228	30289	30169	3613	11.92842	3.81112	0.44732	0.00384	0.96373	0.01253	0.00064	0.06936	0.04734	0.00125	0.93064	0.04734	0.00125	0.04485	0.01652	0.00074	0.95515	0.01652	0.00074	0.05247	0.02301	0.00087	-0.03013	0.02267	0.00384
