Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	34	22729	22469	3932	17.29949	2.64745	0.27719	0.00349	0.94829	0.01580	0.00083	0.09989	0.06015	0.00163	0.90011	0.06015	0.00163	0.06648	0.02256	0.00100	0.93352	0.02256	0.00100	0.08301	0.03591	0.00126	-0.02840	0.01924	0.00349
glutinosus_SG_Blood	glutinosus	SG	Blood	63	21092	20866	3116	14.77337	1.69965	0.21015	0.00316	0.94281	0.02116	0.00100	0.10779	0.07950	0.00194	0.89221	0.07950	0.00194	0.06553	0.02534	0.00110	0.93447	0.02534	0.00110	0.09532	0.05685	0.00164	-0.01870	0.01889	0.00316
montanus_SG_FFS	montanus	SG	FFS	19	17879	17708	1458	8.15482	1.59120	0.30580	0.00414	0.96756	0.01310	0.00086	0.06256	0.05042	0.00168	0.93744	0.05042	0.00168	0.03657	0.01540	0.00093	0.96343	0.01540	0.00093	0.05713	0.04057	0.00151	-0.00823	0.00766	0.00414
montanus_IGG_FFS	montanus	IGG	FFS	36	22241	21992	3069	13.79884	4.81022	3.21951	0.01203	0.96201	0.01209	0.00074	0.06951	0.04237	0.00138	0.93049	0.04237	0.00138	0.04890	0.01727	0.00088	0.95110	0.01727	0.00088	0.05694	0.02473	0.00105	-0.02403	0.02056	0.01203
cinereus_IGG_Blood	cinereus	IGG	Blood	176	22314	22072	2093	9.37976	1.78251	0.17019	0.00276	0.96666	0.01217	0.00074	0.06296	0.04545	0.00143	0.93704	0.04545	0.00143	0.04012	0.01591	0.00084	0.95988	0.01591	0.00084	0.05674	0.03333	0.00122	-0.00934	0.01016	0.00276
yonahlossee_SG_Fresh	yonahlossee	SG	Fresh	19	22774	22514	2581	11.33310	1.99679	0.00320	0.00037	0.95250	0.01920	0.00092	0.09276	0.07499	0.00181	0.90724	0.07499	0.00181	0.05208	0.02161	0.00097	0.94792	0.02161	0.00097	0.06946	0.03844	0.00130	-0.03495	0.01961	0.00037
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	21	22767	22534	2544	11.17407	2.24830	0.31869	0.00374	0.95945	0.01497	0.00081	0.07824	0.05728	0.00159	0.92176	0.05728	0.00159	0.04788	0.01893	0.00091	0.95212	0.01893	0.00091	0.06174	0.03212	0.00119	-0.02654	0.01660	0.00374
glutinosus_SG_Fresh	glutinosus	SG	Fresh	240	22773	22540	3416	15.00022	1.87907	0.10631	0.00216	0.94401	0.02011	0.00094	0.10754	0.07696	0.00184	0.89246	0.07696	0.00184	0.06549	0.02489	0.00105	0.93451	0.02489	0.00105	0.09065	0.04920	0.00147	-0.02534	0.01868	0.00216
yonahlossee_SG_Blood	yonahlossee	SG	Blood	33	22680	22449	2521	11.11552	2.67959	0.29766	0.00362	0.96132	0.01395	0.00078	0.07354	0.05226	0.00152	0.92646	0.05226	0.00152	0.04648	0.01816	0.00089	0.95352	0.01816	0.00089	0.05700	0.02764	0.00110	-0.02807	0.01962	0.00362
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	2	10582	10467	1005	9.49726	1.27830	0.20087	0.00436	0.96151	0.01551	0.00121	0.07243	0.05819	0.00235	0.92757	0.05819	0.00235	0.04299	0.01796	0.00130	0.95701	0.01796	0.00130	0.07281	0.05574	0.00230	0.00057	0.00652	0.00436
glutinosus_SG_FFS	glutinosus	SG	FFS	31	13093	12973	1292	9.86787	1.71107	0.59807	0.00676	0.96364	0.01385	0.00103	0.06757	0.05087	0.00197	0.93243	0.05087	0.00197	0.04237	0.01703	0.00114	0.95763	0.01703	0.00114	0.06509	0.04448	0.00184	-0.00418	0.00928	0.00676
welleri_IGG_FFS	welleri	IGG	FFS	3928	22401	22178	2402	10.72274	2.92433	0.10057	0.00212	0.96335	0.01347	0.00078	0.07101	0.05175	0.00152	0.92899	0.05175	0.00152	0.04368	0.01693	0.00087	0.95632	0.01693	0.00087	0.05307	0.02518	0.00106	-0.03031	0.02027	0.00212
cinereus_IGG_FFS	cinereus	IGG	FFS	83	20970	20771	2142	10.21459	1.90224	0.19427	0.00304	0.96288	0.01374	0.00081	0.07101	0.05218	0.00158	0.92899	0.05218	0.00158	0.04400	0.01747	0.00091	0.95600	0.01747	0.00091	0.06147	0.03564	0.00130	-0.01459	0.01198	0.00304
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	47	22731	22499	2230	9.81039	1.89314	0.09544	0.00205	0.96148	0.01514	0.00082	0.07527	0.05907	0.00161	0.92473	0.05907	0.00161	0.04378	0.01800	0.00089	0.95622	0.01800	0.00089	0.05949	0.03373	0.00122	-0.02367	0.01391	0.00205
cinereus_SG_FFS	cinereus	SG	FFS	395	22045	21828	1644	7.45747	1.43702	0.24604	0.00334	0.96830	0.01345	0.00078	0.06185	0.05244	0.00154	0.93815	0.05244	0.00154	0.03449	0.01501	0.00083	0.96551	0.01501	0.00083	0.05635	0.04289	0.00139	-0.00826	0.00637	0.00334
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	69	22394	22166	2509	11.20389	3.50018	0.68282	0.00552	0.96475	0.01227	0.00074	0.06779	0.04652	0.00144	0.93221	0.04652	0.00144	0.04349	0.01637	0.00085	0.95651	0.01637	0.00085	0.05198	0.02413	0.00104	-0.02829	0.01936	0.00552
montanus_SG_Fresh	montanus	SG	Fresh	91	22737	22504	3385	14.88763	2.80406	0.19942	0.00296	0.95091	0.01677	0.00086	0.09496	0.06415	0.00168	0.90504	0.06415	0.00168	0.05983	0.02184	0.00098	0.94017	0.02184	0.00098	0.07299	0.03277	0.00120	-0.03725	0.02421	0.00296
yonahlossee_SG_FFS	yonahlossee	SG	FFS	5	22128	21904	1876	8.47795	1.47555	0.70668	0.00565	0.96308	0.01587	0.00085	0.07288	0.06261	0.00168	0.92712	0.06261	0.00168	0.03938	0.01716	0.00088	0.96062	0.01716	0.00088	0.07089	0.05930	0.00164	-0.00325	0.00291	0.00565
montanus_IGG_Fresh	montanus	IGG	Fresh	139	22717	22484	3115	13.71220	3.85346	1.04090	0.00677	0.95730	0.01420	0.00079	0.07794	0.04996	0.00148	0.92206	0.04996	0.00148	0.05336	0.01964	0.00093	0.94664	0.01964	0.00093	0.06161	0.02643	0.00108	-0.02978	0.02515	0.00677
yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	49	22777	22544	2715	11.91992	4.42951	0.34058	0.00387	0.96059	0.01408	0.00079	0.07534	0.05293	0.00152	0.92466	0.05293	0.00152	0.04756	0.01833	0.00090	0.95244	0.01833	0.00090	0.05391	0.02358	0.00102	-0.03905	0.02626	0.00387
yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	21	22774	22541	2788	12.24203	2.86322	0.13134	0.00240	0.95941	0.01412	0.00079	0.07818	0.05359	0.00153	0.92182	0.05359	0.00153	0.04964	0.01876	0.00091	0.95036	0.01876	0.00091	0.06007	0.02754	0.00110	-0.03089	0.01969	0.00240
glutinosus_SG_Blood	glutinosus	SG	Blood	117	20330	20131	3046	14.98278	2.27034	0.96218	0.00688	0.95159	0.01603	0.00089	0.08297	0.05267	0.00161	0.91703	0.05267	0.00161	0.06008	0.02179	0.00104	0.93992	0.02179	0.00104	0.08001	0.04208	0.00144	-0.00513	0.02184	0.00688
montanus_SG_FFS	montanus	SG	FFS	49	21922	21700	2661	12.13849	4.23789	2.92160	0.01154	0.96600	0.01094	0.00071	0.06127	0.03799	0.00132	0.93873	0.03799	0.00132	0.04382	0.01577	0.00085	0.95618	0.01577	0.00085	0.05160	0.02302	0.00102	-0.01828	0.01998	0.01154
montanus_IGG_FFS	montanus	IGG	FFS	15	17557	17399	1412	8.04238	1.30045	0.21019	0.00346	0.96518	0.01485	0.00092	0.06826	0.05821	0.00182	0.93174	0.05821	0.00182	0.03751	0.01634	0.00096	0.96249	0.01634	0.00096	0.06505	0.05238	0.00173	-0.00481	0.00443	0.00346
cinereus_IGG_Blood	cinereus	IGG	Blood	267	22399	22175	2858	12.75950	3.42832	1.23076	0.00741	0.96593	0.01022	0.00068	0.05743	0.03159	0.00119	0.94257	0.03159	0.00119	0.04536	0.01566	0.00084	0.95464	0.01566	0.00084	0.05421	0.02313	0.00102	-0.00567	0.01784	0.00741
yonahlossee_SG_Fresh	yonahlossee	SG	Fresh	6	22738	22506	2251	9.89973	1.38746	0.23734	0.00323	0.95984	0.01614	0.00084	0.07874	0.06321	0.00167	0.92126	0.06321	0.00167	0.04483	0.01866	0.00091	0.95517	0.01866	0.00091	0.07312	0.05363	0.00154	-0.00844	0.00653	0.00323
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	32	22777	22694	2860	12.55653	4.30619	0.24362	0.00327	0.95688	0.01552	0.00083	0.08273	0.05879	0.00161	0.91727	0.05879	0.00161	0.05147	0.02000	0.00094	0.94853	0.02000	0.00094	0.05807	0.02546	0.00106	-0.04515	0.03015	0.00327
glutinosus_SG_Fresh	glutinosus	SG	Fresh	85	22775	22692	3745	16.44347	1.96891	0.03012	0.00115	0.93906	0.02144	0.00097	0.11592	0.08121	0.00189	0.88408	0.08121	0.00189	0.07158	0.02668	0.00108	0.92842	0.02668	0.00108	0.09652	0.04903	0.00147	-0.02909	0.02266	0.00115
yonahlossee_SG_Blood	yonahlossee	SG	Blood	9	21975	21896	2011	9.15131	1.43759	0.24612	0.00335	0.96361	0.01453	0.00081	0.07115	0.05673	0.00161	0.92885	0.05673	0.00161	0.04108	0.01710	0.00088	0.95892	0.01710	0.00088	0.06432	0.04518	0.00143	-0.01024	0.00747	0.00335
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	7	22473	22393	1988	8.84617	1.34197	0.22504	0.00316	0.96115	0.01657	0.00086	0.07734	0.06597	0.00171	0.92266	0.06597	0.00171	0.04154	0.01804	0.00090	0.95846	0.01804	0.00090	0.06848	0.05227	0.00153	-0.01328	0.00700	0.00316
glutinosus_SG_FFS	glutinosus	SG	FFS	13	15884	15832	1731	10.89776	2.05194	1.01166	0.00798	0.96371	0.01288	0.00090	0.06470	0.04488	0.00168	0.93530	0.04488	0.00168	0.04419	0.01692	0.00103	0.95581	0.01692	0.00103	0.06334	0.03889	0.00156	-0.00258	0.01276	0.00798
welleri_IGG_FFS	welleri	IGG	FFS	3883	22435	22354	2964	13.21150	4.96604	0.54676	0.00494	0.96245	0.01274	0.00075	0.07132	0.04782	0.00146	0.92868	0.04782	0.00146	0.04680	0.01680	0.00087	0.95320	0.01680	0.00087	0.05237	0.02112	0.00097	-0.03486	0.02770	0.00494
cinereus_IGG_FFS	cinereus	IGG	FFS	66	21581	21511	2157	9.99490	1.91891	0.07452	0.00186	0.96350	0.01355	0.00079	0.06985	0.05150	0.00154	0.93015	0.05150	0.00154	0.04324	0.01722	0.00089	0.95676	0.01722	0.00089	0.05989	0.03409	0.00126	-0.01494	0.01198	0.00186
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	15	22711	22628	2135	9.40073	1.72938	0.19739	0.00295	0.96428	0.01376	0.00078	0.06955	0.05343	0.00153	0.93045	0.05343	0.00153	0.04136	0.01686	0.00086	0.95864	0.01686	0.00086	0.05913	0.03614	0.00126	-0.01563	0.01041	0.00295
