Organism	Locality	Age	SampleID
cinereus	IGG	FFS	461414
cinereus	IGG	FFS	461396
cinereus	IGG	FFS	461412
cinereus	IGG	FFS	461400
cinereus	IGG	FFS	461399
welleri	IGG	FFS	461328
welleri	IGG	FFS	461331
welleri	IGG	FFS	461386
welleri	IGG	FFS	461387
welleri	IGG	FFS	461395
welleri	IGG	FFS	461380
welleri	IGG	FFS	461391
welleri	IGG	FFS	461389
welleri	IGG	FFS	461382
yonahlossee	SG	FFS	422660
yonahlossee	SG	FFS	422683
yonahlossee	SG	FFS	488662
yonahlossee	SG	FFS	422684
yonahlossee	SG	FFS	422661
yonahlossee	SG	FFS	422663
yonahlossee	SG	FFS	422664
yonahlossee	SG	FFS	422659
glutinosus	SG	FFS	422666
glutinosus	SG	FFS	422669
glutinosus	SG	FFS	422668
glutinosus	SG	FFS	422667
glutinosus	SG	FFS	486212
glutinosus	SG	FFS	486213
glutinosus	SG	FFS	486214
glutinosus	SG	FFS	486217
glutinosus	SG	FFS	486218
glutinosus	SG	FFS	486215
cinereus	SG	FFS	422680
cinereus	SG	FFS	422681
cinereus	SG	FFS	422670
cinereus	SG	FFS	422671
cinereus	SG	FFS	422709
cinereus	SG	FFS	422710
cinereus	SG	FFS	422715
cinereus	SG	FFS	422708
cinereus	SG	FFS	422705
cinereus	SG	FFS	422711
montanus	SG	FFS	422650
montanus	SG	FFS	422651
montanus	SG	FFS	422654
montanus	SG	FFS	422655
montanus	SG	FFS	422656
montanus	SG	FFS	422657
montanus	SG	FFS	486219
montanus	SG	FFS	486221
montanus	SG	FFS	486222
montanus	SG	FFS	486223
#gyro	app	allozyme	525132
#gyro	app	fresh	525132
#gyro	app	allozyme	525133
#gyro	app	fresh	525133
#gyro	app	FFS	525133L
#gyro	app	FFS	525133M
#gyro	app	allozyme	525134
#gyro	app	FFS	525134
#gyro	app	fresh	525134
#gyro	app	allozyme	525135
#gyro	app	FFS	525135
#gyro	app	fresh	525135
#gyro	app	allozyme	525139
#gyro	app	FFS	525139
#gyro	app	fresh	525139
#gyro	app	allozyme	525249
#gyro	app	FFS	525249
#gyro	app	fresh	525249
#gyro	app	allozyme	525251
#gyro	app	FFS	525251
#gyro	app	fresh	525251
#gyro	app	allozyme	525254
#gyro	app	FFS	525254
#gyro	app	fresh	525254
#gyro	app	allozyme	525255
#gyro	app	FFS	525255
#gyro	app	fresh	525255
#gyro	app	allozyme	525256
#gyro	app	FFS	525256
#gyro	app	fresh	525256
